
Fold 1
Epoch 72: Loss=0.0166, Macro-F1=0.6832, Macro-AUC=0.9261249536020278
Epoch 73: Loss=0.0163, Macro-F1=0.7100, Macro-AUC=0.9276827815959968
Epoch 74: Loss=0.0167, Macro-F1=0.7227, Macro-AUC=0.9247906522509268
Epoch 75: Loss=0.0163, Macro-F1=0.7191, Macro-AUC=0.9248349763016405
Epoch 76: Loss=0.0169, Macro-F1=0.7066, Macro-AUC=0.9296937522189074
Epoch 77: Loss=0.0142, Macro-F1=0.7117, Macro-AUC=0.9276556457680099
Epoch 78: Loss=0.0151, Macro-F1=0.7332, Macro-AUC=0.9351721655065854
Epoch 79: Loss=0.0140, Macro-F1=0.6949, Macro-AUC=0.9304208026176334
Epoch 80: Loss=0.0159, Macro-F1=0.7204, Macro-AUC=0.9345185980358431
Epoch 81: Loss=0.0134, Macro-F1=0.7149, Macro-AUC=0.9285026818830171
Epoch 82: Loss=0.0149, Macro-F1=0.7114, Macro-AUC=0.9277891451750359
Epoch 83: Loss=0.0134, Macro-F1=0.7192, Macro-AUC=0.9359500532677281
Epoch 84: Loss=0.0143, Macro-F1=0.7041, Macro-AUC=0.9246320216418068
Epoch 85: Loss=0.0144, Macro-F1=0.7048, Macro-AUC=0.9273997254935306
Epoch 86: Loss=0.0128, Macro-F1=0.7133, Macro-AUC=0.9290823755551387
Epoch 87: Loss=0.0130, Macro-F1=0.7119, Macro-AUC=0.9202177968680739
Epoch 88: Loss=0.0136, Macro-F1=0.7295, Macro-AUC=0.91809833720974
Epoch 89: Loss=0.0126, Macro-F1=0.7153, Macro-AUC=0.9289040656332906
Epoch 90: Loss=0.0153, Macro-F1=0.7219, Macro-AUC=0.9295176822321137
Epoch 91: Loss=0.0126, Macro-F1=0.7041, Macro-AUC=0.9303791363153212
Epoch 92: Loss=0.0126, Macro-F1=0.7141, Macro-AUC=0.9315233786375363
Epoch 93: Loss=0.0137, Macro-F1=0.7193, Macro-AUC=0.9260876347228617
Epoch 94: Loss=0.0125, Macro-F1=0.7074, Macro-AUC=0.9277416213463516
Epoch 95: Loss=0.0121, Macro-F1=0.7104, Macro-AUC=0.9269935591382628
Epoch 96: Loss=0.0119, Macro-F1=0.7209, Macro-AUC=0.9353559830088786
Epoch 97: Loss=0.0128, Macro-F1=0.7280, Macro-AUC=0.934274539126181
Epoch 98: Loss=0.0127, Macro-F1=0.7125, Macro-AUC=0.9293809337428731
Epoch 99: Loss=0.0126, Macro-F1=0.7116, Macro-AUC=0.926978042451888
Epoch 100: Loss=0.0123, Macro-F1=0.7059, Macro-AUC=0.9344640382117899

Fold 2
Epoch 1: Loss=0.2708, Macro-F1=0.2359, Macro-AUC=0.8507828481696933
Epoch 2: Loss=0.1960, Macro-F1=0.5325, Macro-AUC=0.898474556046854
Epoch 3: Loss=0.1711, Macro-F1=0.6195, Macro-AUC=0.9166929066353178
Epoch 4: Loss=0.1594, Macro-F1=0.6332, Macro-AUC=0.9276042572542997
Epoch 5: Loss=0.1471, Macro-F1=0.5433, Macro-AUC=0.9268318548078801
Epoch 6: Loss=0.1369, Macro-F1=0.6636, Macro-AUC=0.9424150095759126
Epoch 7: Loss=0.1286, Macro-F1=0.7050, Macro-AUC=0.9455147065418217
Epoch 8: Loss=0.1234, Macro-F1=0.6975, Macro-AUC=0.9404620289645992
Epoch 9: Loss=0.1168, Macro-F1=0.6380, Macro-AUC=0.933963247457553
Epoch 10: Loss=0.1130, Macro-F1=0.6793, Macro-AUC=0.9404419339461475
Epoch 11: Loss=0.1067, Macro-F1=0.6542, Macro-AUC=0.9384636138273924
Epoch 12: Loss=0.0995, Macro-F1=0.6532, Macro-AUC=0.9385400473089648
Epoch 13: Loss=0.0948, Macro-F1=0.7001, Macro-AUC=0.9436575281426861
Epoch 14: Loss=0.0905, Macro-F1=0.6941, Macro-AUC=0.950211528681923
Epoch 15: Loss=0.0856, Macro-F1=0.7136, Macro-AUC=0.943024037437861
Epoch 16: Loss=0.0803, Macro-F1=0.6618, Macro-AUC=0.9368227541679635
Epoch 17: Loss=0.0765, Macro-F1=0.7547, Macro-AUC=0.9498838364963897
Epoch 18: Loss=0.0735, Macro-F1=0.6892, Macro-AUC=0.943443377110917
Epoch 19: Loss=0.0673, Macro-F1=0.7200, Macro-AUC=0.946007437814345
Epoch 20: Loss=0.0647, Macro-F1=0.7571, Macro-AUC=0.954957169054012
Epoch 21: Loss=0.0599, Macro-F1=0.6988, Macro-AUC=0.9480484847386168
Epoch 22: Loss=0.0566, Macro-F1=0.7437, Macro-AUC=0.9534078353835714
Epoch 23: Loss=0.0541, Macro-F1=0.7565, Macro-AUC=0.9510308606452763
Epoch 24: Loss=0.0503, Macro-F1=0.7217, Macro-AUC=0.9469147297177076
Epoch 25: Loss=0.0496, Macro-F1=0.7573, Macro-AUC=0.9504419547800151
Epoch 26: Loss=0.0453, Macro-F1=0.7407, Macro-AUC=0.94425870222353
Epoch 27: Loss=0.0450, Macro-F1=0.7493, Macro-AUC=0.9448194482304201
Epoch 28: Loss=0.0416, Macro-F1=0.6996, Macro-AUC=0.9461609886554455
Epoch 29: Loss=0.0406, Macro-F1=0.7415, Macro-AUC=0.9408359594778403
Epoch 30: Loss=0.0392, Macro-F1=0.7574, Macro-AUC=0.9412212415773289
Epoch 31: Loss=0.0371, Macro-F1=0.7437, Macro-AUC=0.9478411137160629
Epoch 32: Loss=0.0362, Macro-F1=0.7568, Macro-AUC=0.9465710113643218
Epoch 33: Loss=0.0341, Macro-F1=0.7292, Macro-AUC=0.945359521631078
Epoch 34: Loss=0.0334, Macro-F1=0.7445, Macro-AUC=0.9411031849059004
Epoch 35: Loss=0.0310, Macro-F1=0.7515, Macro-AUC=0.9387507674105637
Epoch 36: Loss=0.0311, Macro-F1=0.7115, Macro-AUC=0.9421595618052278
Epoch 37: Loss=0.0300, Macro-F1=0.7612, Macro-AUC=0.9492886876375789
Epoch 38: Loss=0.0303, Macro-F1=0.7506, Macro-AUC=0.9432560013970586
Epoch 39: Loss=0.0262, Macro-F1=0.7491, Macro-AUC=0.9483673674359979
Epoch 40: Loss=0.0269, Macro-F1=0.7438, Macro-AUC=0.9406929669889811
Epoch 41: Loss=0.0270, Macro-F1=0.7360, Macro-AUC=0.9474025672649332
Epoch 42: Loss=0.0242, Macro-F1=0.7390, Macro-AUC=0.9361071781195557
Epoch 43: Loss=0.0239, Macro-F1=0.7445, Macro-AUC=0.9485012190841271
Epoch 44: Loss=0.0236, Macro-F1=0.7158, Macro-AUC=0.9371944408622931
Epoch 45: Loss=0.0250, Macro-F1=0.7462, Macro-AUC=0.9423724566225545
Epoch 46: Loss=0.0229, Macro-F1=0.7453, Macro-AUC=0.9495568097690918
Epoch 47: Loss=0.0226, Macro-F1=0.7599, Macro-AUC=0.948196611875364
Epoch 48: Loss=0.0211, Macro-F1=0.7449, Macro-AUC=0.9440188790429773
Epoch 49: Loss=0.0209, Macro-F1=0.7417, Macro-AUC=0.9423956308032326
Epoch 50: Loss=0.0201, Macro-F1=0.7452, Macro-AUC=0.9465628643732416
Epoch 51: Loss=0.0213, Macro-F1=0.7291, Macro-AUC=0.9362353623544115
Epoch 52: Loss=0.0201, Macro-F1=0.7526, Macro-AUC=0.9513643220630564
Epoch 53: Loss=0.0200, Macro-F1=0.7331, Macro-AUC=0.9372676377851786
Epoch 54: Loss=0.0183, Macro-F1=0.7626, Macro-AUC=0.9475423207651544
Epoch 55: Loss=0.0190, Macro-F1=0.7470, Macro-AUC=0.9371224383200273
Epoch 56: Loss=0.0217, Macro-F1=0.7592, Macro-AUC=0.9428584538233274
Epoch 57: Loss=0.0162, Macro-F1=0.7520, Macro-AUC=0.942941021479792
Epoch 58: Loss=0.0176, Macro-F1=0.7591, Macro-AUC=0.9435483845369181
Epoch 59: Loss=0.0177, Macro-F1=0.7526, Macro-AUC=0.9349457724920333
Epoch 60: Loss=0.0171, Macro-F1=0.7388, Macro-AUC=0.9384850500061108
Epoch 61: Loss=0.0167, Macro-F1=0.7532, Macro-AUC=0.9335573768616915
Epoch 62: Loss=0.0167, Macro-F1=0.7251, Macro-AUC=0.9334178478629932
Epoch 63: Loss=0.0158, Macro-F1=0.7310, Macro-AUC=0.9443135883838557
Epoch 64: Loss=0.0153, Macro-F1=0.7402, Macro-AUC=0.942147211104793
Epoch 65: Loss=0.0173, Macro-F1=0.7407, Macro-AUC=0.9434558755394727
Epoch 66: Loss=0.0146, Macro-F1=0.7414, Macro-AUC=0.935275820942703
Epoch 67: Loss=0.0142, Macro-F1=0.7496, Macro-AUC=0.9427572995088549
Epoch 68: Loss=0.0171, Macro-F1=0.7515, Macro-AUC=0.9432599620519374
Epoch 69: Loss=0.0143, Macro-F1=0.7555, Macro-AUC=0.940455866992088
Epoch 70: Loss=0.0135, Macro-F1=0.7380, Macro-AUC=0.9430256554507265
Epoch 71: Loss=0.0185, Macro-F1=0.7403, Macro-AUC=0.9437576381366058
Epoch 72: Loss=0.0139, Macro-F1=0.7568, Macro-AUC=0.9513142019953048
Epoch 73: Loss=0.0136, Macro-F1=0.7528, Macro-AUC=0.9405054089556761
Epoch 74: Loss=0.0130, Macro-F1=0.7555, Macro-AUC=0.9447025454585495
Epoch 75: Loss=0.0140, Macro-F1=0.7285, Macro-AUC=0.941920028307902
Epoch 76: Loss=0.0135, Macro-F1=0.7341, Macro-AUC=0.9415970131582403
Epoch 77: Loss=0.0132, Macro-F1=0.7506, Macro-AUC=0.9425893272116725
Epoch 78: Loss=0.0140, Macro-F1=0.7432, Macro-AUC=0.9441418836846763
Epoch 79: Loss=0.0139, Macro-F1=0.7525, Macro-AUC=0.9497233390107035
Epoch 80: Loss=0.0123, Macro-F1=0.7676, Macro-AUC=0.9493546461105574
Epoch 81: Loss=0.0124, Macro-F1=0.7517, Macro-AUC=0.9459794413461596
Epoch 82: Loss=0.0125, Macro-F1=0.7414, Macro-AUC=0.9472098014001639
Epoch 83: Loss=0.0139, Macro-F1=0.7591, Macro-AUC=0.9511883245960041
Epoch 84: Loss=0.0126, Macro-F1=0.7192, Macro-AUC=0.9443506998258425
Epoch 85: Loss=0.0109, Macro-F1=0.7412, Macro-AUC=0.9385608805617056
Epoch 86: Loss=0.0121, Macro-F1=0.7549, Macro-AUC=0.9415518988170386
Epoch 87: Loss=0.0119, Macro-F1=0.7604, Macro-AUC=0.9477759579414136
Epoch 88: Loss=0.0116, Macro-F1=0.7466, Macro-AUC=0.9377792266600102
Epoch 89: Loss=0.0126, Macro-F1=0.7553, Macro-AUC=0.9466390248417302
Epoch 90: Loss=0.0113, Macro-F1=0.7307, Macro-AUC=0.9373123632454189
Epoch 91: Loss=0.0159, Macro-F1=0.7434, Macro-AUC=0.9334323766513061
Epoch 92: Loss=0.0122, Macro-F1=0.7328, Macro-AUC=0.9426361552544424
Epoch 93: Loss=0.0129, Macro-F1=0.7544, Macro-AUC=0.9371786177406319
Epoch 94: Loss=0.0093, Macro-F1=0.7661, Macro-AUC=0.9471155126619527
Epoch 95: Loss=0.0115, Macro-F1=0.7566, Macro-AUC=0.9450010116069986
Epoch 96: Loss=0.0106, Macro-F1=0.7380, Macro-AUC=0.9406866882860394
Epoch 97: Loss=0.0103, Macro-F1=0.7512, Macro-AUC=0.9443439221355767
Epoch 98: Loss=0.0109, Macro-F1=0.7383, Macro-AUC=0.935032273289844
Epoch 99: Loss=0.0104, Macro-F1=0.7451, Macro-AUC=0.9350131934988303
Epoch 100: Loss=0.0102, Macro-F1=0.7510, Macro-AUC=0.9451297690191279

Fold 3
Epoch 1: Loss=0.2840, Macro-F1=0.3178, Macro-AUC=0.8289998320842358
Epoch 2: Loss=0.2101, Macro-F1=0.4962, Macro-AUC=0.8987133818775404
Epoch 3: Loss=0.1823, Macro-F1=0.4619, Macro-AUC=0.9046031175313664
Epoch 4: Loss=0.1684, Macro-F1=0.5578, Macro-AUC=0.9098506335427374
Epoch 5: Loss=0.1542, Macro-F1=0.6432, Macro-AUC=0.9227870445465951
Epoch 6: Loss=0.1474, Macro-F1=0.6167, Macro-AUC=0.9193573237622196
Epoch 7: Loss=0.1405, Macro-F1=0.6043, Macro-AUC=0.9263424658866081
Epoch 8: Loss=0.1332, Macro-F1=0.6139, Macro-AUC=0.9290320252070509
Epoch 9: Loss=0.1285, Macro-F1=0.6867, Macro-AUC=0.938340015767682
Epoch 10: Loss=0.1239, Macro-F1=0.5866, Macro-AUC=0.9296271190815713
Epoch 11: Loss=0.1186, Macro-F1=0.6848, Macro-AUC=0.9351248226837178
Epoch 12: Loss=0.1152, Macro-F1=0.7105, Macro-AUC=0.9425289234578078
Epoch 13: Loss=0.1100, Macro-F1=0.7200, Macro-AUC=0.9441510139828052
Epoch 14: Loss=0.1066, Macro-F1=0.7054, Macro-AUC=0.935107680335347
Epoch 15: Loss=0.1017, Macro-F1=0.7146, Macro-AUC=0.9452744788694027
Epoch 16: Loss=0.1006, Macro-F1=0.7156, Macro-AUC=0.9416179191989522
Epoch 17: Loss=0.0938, Macro-F1=0.7154, Macro-AUC=0.9421396776604934
Epoch 18: Loss=0.0906, Macro-F1=0.6889, Macro-AUC=0.9450714505876222
Epoch 19: Loss=0.0889, Macro-F1=0.7338, Macro-AUC=0.9445534740816223
Epoch 20: Loss=0.0821, Macro-F1=0.7054, Macro-AUC=0.9469086733840092
Epoch 21: Loss=0.0797, Macro-F1=0.6968, Macro-AUC=0.9391141773029399
Epoch 22: Loss=0.0776, Macro-F1=0.6789, Macro-AUC=0.9375266074805371
Epoch 23: Loss=0.0757, Macro-F1=0.6675, Macro-AUC=0.9448376982373262
Epoch 24: Loss=0.0699, Macro-F1=0.7177, Macro-AUC=0.9411722437213113
Epoch 25: Loss=0.0690, Macro-F1=0.7350, Macro-AUC=0.9389667904020137
Epoch 26: Loss=0.0681, Macro-F1=0.7177, Macro-AUC=0.944041005737872
Epoch 27: Loss=0.0626, Macro-F1=0.7153, Macro-AUC=0.9428560824353647
Epoch 28: Loss=0.0600, Macro-F1=0.7173, Macro-AUC=0.9357741315211201
Epoch 29: Loss=0.0571, Macro-F1=0.6975, Macro-AUC=0.9409682523185648
Epoch 30: Loss=0.0564, Macro-F1=0.7110, Macro-AUC=0.9421265409684803
Epoch 31: Loss=0.0516, Macro-F1=0.7304, Macro-AUC=0.9392755256915808
Epoch 32: Loss=0.0494, Macro-F1=0.7366, Macro-AUC=0.9409895920156948
Epoch 33: Loss=0.0481, Macro-F1=0.7228, Macro-AUC=0.9376690248527656
Epoch 34: Loss=0.0462, Macro-F1=0.6992, Macro-AUC=0.9246849915187744
Epoch 35: Loss=0.0439, Macro-F1=0.7341, Macro-AUC=0.9419979497125084
Epoch 36: Loss=0.0432, Macro-F1=0.7423, Macro-AUC=0.9380423391035433
Epoch 37: Loss=0.0406, Macro-F1=0.7451, Macro-AUC=0.9409317552018328
Epoch 38: Loss=0.0404, Macro-F1=0.7340, Macro-AUC=0.9334539750966976
Epoch 39: Loss=0.0381, Macro-F1=0.7252, Macro-AUC=0.9391796325675921
Epoch 40: Loss=0.0370, Macro-F1=0.7178, Macro-AUC=0.9419570252612548
Epoch 41: Loss=0.0346, Macro-F1=0.7182, Macro-AUC=0.9332494314771195
Epoch 42: Loss=0.0338, Macro-F1=0.7128, Macro-AUC=0.9382311438792619
Epoch 43: Loss=0.0336, Macro-F1=0.7058, Macro-AUC=0.9375662733481849
Epoch 44: Loss=0.0309, Macro-F1=0.7402, Macro-AUC=0.9354773442653972
Epoch 45: Loss=0.0313, Macro-F1=0.7345, Macro-AUC=0.9336515427535831
Epoch 46: Loss=0.0302, Macro-F1=0.7260, Macro-AUC=0.9382844997965039
Epoch 47: Loss=0.0299, Macro-F1=0.7295, Macro-AUC=0.9365626787984276
Epoch 48: Loss=0.0291, Macro-F1=0.7522, Macro-AUC=0.9397872776058962
Epoch 49: Loss=0.0284, Macro-F1=0.7031, Macro-AUC=0.9338354366272534
Epoch 50: Loss=0.0263, Macro-F1=0.7442, Macro-AUC=0.9355435015662421
Epoch 51: Loss=0.0270, Macro-F1=0.7321, Macro-AUC=0.9329166725595885
Epoch 52: Loss=0.0245, Macro-F1=0.7005, Macro-AUC=0.9323037906767185
Epoch 53: Loss=0.0258, Macro-F1=0.7339, Macro-AUC=0.9359112848422241
Epoch 54: Loss=0.0245, Macro-F1=0.7204, Macro-AUC=0.9314020821139485
Epoch 55: Loss=0.0232, Macro-F1=0.7252, Macro-AUC=0.9309555397684873
Epoch 56: Loss=0.0232, Macro-F1=0.7189, Macro-AUC=0.9249880227722108
Epoch 57: Loss=0.0245, Macro-F1=0.7195, Macro-AUC=0.9259779153424369
Epoch 58: Loss=0.0216, Macro-F1=0.7261, Macro-AUC=0.9338088962301199
Epoch 59: Loss=0.0211, Macro-F1=0.7296, Macro-AUC=0.9378684391169991
Epoch 60: Loss=0.0217, Macro-F1=0.7195, Macro-AUC=0.9252180382705871
Epoch 61: Loss=0.0216, Macro-F1=0.7411, Macro-AUC=0.9318005873690106
Epoch 62: Loss=0.0207, Macro-F1=0.7471, Macro-AUC=0.9380655132749445
Epoch 63: Loss=0.0198, Macro-F1=0.7298, Macro-AUC=0.9330167354258578
Epoch 64: Loss=0.0196, Macro-F1=0.7104, Macro-AUC=0.9261323729362072
Epoch 65: Loss=0.0198, Macro-F1=0.7476, Macro-AUC=0.9334637817383129
Epoch 66: Loss=0.0183, Macro-F1=0.7233, Macro-AUC=0.9321304636383836
Epoch 67: Loss=0.0180, Macro-F1=0.7143, Macro-AUC=0.9343884878462786
Epoch 68: Loss=0.0173, Macro-F1=0.7312, Macro-AUC=0.9246836784591298
Epoch 69: Loss=0.0194, Macro-F1=0.7447, Macro-AUC=0.9335693154700828
Epoch 70: Loss=0.0162, Macro-F1=0.7347, Macro-AUC=0.9339403297223269
Epoch 71: Loss=0.0172, Macro-F1=0.7390, Macro-AUC=0.9263412580967744
Epoch 72: Loss=0.0169, Macro-F1=0.7248, Macro-AUC=0.9341678593196853
Epoch 73: Loss=0.0171, Macro-F1=0.7029, Macro-AUC=0.9288771692258772
Epoch 74: Loss=0.0169, Macro-F1=0.7255, Macro-AUC=0.9296495897124252
Epoch 75: Loss=0.0158, Macro-F1=0.7311, Macro-AUC=0.9227696261289611
Epoch 76: Loss=0.0177, Macro-F1=0.7283, Macro-AUC=0.9247102767931614
Epoch 77: Loss=0.0152, Macro-F1=0.7203, Macro-AUC=0.9309259788228855
Epoch 78: Loss=0.0162, Macro-F1=0.7202, Macro-AUC=0.9240147790818164
Epoch 79: Loss=0.0154, Macro-F1=0.7221, Macro-AUC=0.9350134932113404
Epoch 80: Loss=0.0153, Macro-F1=0.7011, Macro-AUC=0.9255229968773921
Epoch 81: Loss=0.0141, Macro-F1=0.6993, Macro-AUC=0.9308523564623145
Epoch 82: Loss=0.0143, Macro-F1=0.7479, Macro-AUC=0.9325044622711075
Epoch 83: Loss=0.0154, Macro-F1=0.7418, Macro-AUC=0.9267562630426607
Epoch 84: Loss=0.0141, Macro-F1=0.7451, Macro-AUC=0.9303298688861312
Epoch 85: Loss=0.0142, Macro-F1=0.7299, Macro-AUC=0.936778126978417
Epoch 86: Loss=0.0156, Macro-F1=0.7442, Macro-AUC=0.9262587206308608
Epoch 87: Loss=0.0151, Macro-F1=0.7274, Macro-AUC=0.9307701460413518
Epoch 88: Loss=0.0150, Macro-F1=0.7331, Macro-AUC=0.9320908891710508
Epoch 89: Loss=0.0125, Macro-F1=0.7353, Macro-AUC=0.9237160385713508
Epoch 90: Loss=0.0130, Macro-F1=0.7302, Macro-AUC=0.9257872470377837
Epoch 91: Loss=0.0135, Macro-F1=0.7150, Macro-AUC=0.9211284976211898
Epoch 92: Loss=0.0139, Macro-F1=0.7297, Macro-AUC=0.9330540105885095
Epoch 93: Loss=0.0123, Macro-F1=0.7428, Macro-AUC=0.9284068386221487
Epoch 94: Loss=0.0149, Macro-F1=0.7462, Macro-AUC=0.9350656057998123
Epoch 95: Loss=0.0118, Macro-F1=0.7373, Macro-AUC=0.9291005990104279
Epoch 96: Loss=0.0136, Macro-F1=0.7414, Macro-AUC=0.9326895101817249
Epoch 97: Loss=0.0120, Macro-F1=0.7337, Macro-AUC=0.9379154902548762
Epoch 98: Loss=0.0135, Macro-F1=0.7318, Macro-AUC=0.9263766279830892
Epoch 99: Loss=0.0116, Macro-F1=0.7139, Macro-AUC=0.9290298127953684
Epoch 100: Loss=0.0142, Macro-F1=0.7172, Macro-AUC=0.922509582548419

Fold 4
Epoch 1: Loss=0.2943, Macro-F1=0.1065, Macro-AUC=0.7471839867157506
Epoch 2: Loss=0.2184, Macro-F1=0.3474, Macro-AUC=0.8552095032855566
Epoch 3: Loss=0.1852, Macro-F1=0.5527, Macro-AUC=0.8985503115473504
Epoch 4: Loss=0.1705, Macro-F1=0.4599, Macro-AUC=0.8895968205240776
Epoch 5: Loss=0.1586, Macro-F1=0.4759, Macro-AUC=0.8790885538521649
Epoch 6: Loss=0.1503, Macro-F1=0.5044, Macro-AUC=0.880246538142837
Epoch 7: Loss=0.1413, Macro-F1=0.5540, Macro-AUC=0.9036310038891696
Epoch 8: Loss=0.1333, Macro-F1=0.5872, Macro-AUC=0.9220141327568001
Epoch 9: Loss=0.1267, Macro-F1=0.6379, Macro-AUC=0.9267120538619729
Epoch 10: Loss=0.1232, Macro-F1=0.6186, Macro-AUC=0.9274227991881353
Epoch 11: Loss=0.1178, Macro-F1=0.6594, Macro-AUC=0.9209696149349139
